#WEBOTS_MOTION,V1.0,neck_yaw,neck_pitch,left_shoulder_pitch [shoulder],left_shoulder_roll,left_elbow,right_shoulder_pitch [shoulder],right_shoulder_roll,right_elbow,left_hip_yaw [hip],left_hip_roll,left_hip_pitch,left_knee,left_ankle_roll,left_ankle_pitch,right_hip_yaw [hip],right_hip_roll,right_hip_pitch,right_knee,right_ankle_roll,right_ankle_pitch
00:00:000,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0, -0.0349066,  0.715585, -0.872665,        0,  0.436332, 0, 0.0349066,  0.715585, -0.872665,        0,   0.436332 
00:01:000,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0, -0.0349066,  0.715585, -0.872665,        0,  0.436332, 0, 0.0349066,  0.715585, -0.872665,        0,   0.436332
00:02:000,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495015, -0.033352, -0.067389, 0.864926,   0.034036 
00:02:025,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495029, -0.044672, -0.090879, 0.864961,   0.046206 
00:02:050,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495041, -0.051840, -0.107092, 0.864991,   0.055251 
00:02:075,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495051, -0.056638, -0.119447, 0.865018,   0.062808
00:02:100,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495060, -0.059903, -0.129465, 0.865041,   0.069562 
00:02:125,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495069, -0.062176, -0.138082, 0.865064,   0.075905
00:02:150,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495078, -0.063874, -0.145988, 0.865086,   0.082113 
00:02:175,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495087, -0.065353, -0.153759, 0.865109,   0.088405
00:02:200,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495097, -0.066926, -0.161899, 0.865136,   0.094972 
00:02:225,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495109, -0.068876, -0.170858, 0.865166,   0.101981
00:02:250,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495123, -0.071450, -0.181026, 0.865203,   0.109575 
00:02:275,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495140, -0.074860, -0.192729, 0.865247,   0.117868
00:02:300,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495162, -0.079277, -0.206221, 0.865301,   0.126944 
00:02:325,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495187, -0.084829, -0.221684, 0.865367,   0.136854
00:02:350,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495218, -0.091608, -0.239230, 0.865447,   0.147621
00:02:375,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495256, -0.099673, -0.258915, 0.865544,   0.159242
00:02:400,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495301, -0.109052, -0.280751, 0.865659,   0.171698
00:02:425,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495354, -0.119759, -0.304715, 0.865795,   0.184956
00:02:450,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495416, -0.131787, -0.330768, 0.865955,   0.198980
00:02:475,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495489, -0.145122, -0.358854, 0.866143,   0.213731
00:02:495,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495574, -0.133619, -0.380124, 0.866360,   0.246504
00:02:510,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495574,  0.133619,  0.380124, 0.866360,   0.246504
00:02:520,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495461,  0.127262,  0.344250, 0.866071,   0.216987
00:02:530,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495373,  0.129273,  0.314648, 0.865845,   0.185375
00:02:540,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495307,  0.137504,  0.289267, 0.865676,   0.151763
