x,y,z
0,7.5,6
-0.114125,7.5,6.185771875
-0.434,7.5,6.34635
-0.928125,7.5,6.487021875
-1.568,7.5,6.6136
-2.328125,7.5,6.732421875
-3.186,7.5,6.85035
-4.122125,7.5,6.974771875
-5.12,7.5,7.1136
-6.166125,7.5,7.275271875
-7.25,7.5,7.46875
-8.364125,7.5,7.703521875
-9.504,7.5,7.9896
-10.668125,7.5,8.337521875
-11.858,7.5,8.75835
-13.078125,7.5,9.263671875
-14.336,7.5,9.8656
-15.642125,7.5,10.576771875
-17.01,7.5,11.41035
-18.456125,7.5,12.380021875
-20,7.5,13.5
-15.87,7.5,12.012
-9.76,7.5,10.836
-2.09,7.5,9.954
6.72,7.5,9.348
16.25,7.5,9
26.08,7.5,8.892
35.79,7.5,9.006
44.96,7.5,9.324
53.17,7.5,9.828
