x,y,z
0,7.5,6
-0.0047522,7.5,6.039406035
-0.0188192,7.5,6.07764856
-0.0419202,7.5,6.114764835
-0.0737792,7.5,6.15079296
-0.114125,7.5,6.185771875
-0.1626912,7.5,6.21974136
-0.2192162,7.5,6.252742035
-0.2834432,7.5,6.28481536
-0.3551202,7.5,6.316003635
-0.434,7.5,6.34635
-0.5198402,7.5,6.375898435
-0.6124032,7.5,6.40469376
-0.7114562,7.5,6.432781635
-0.8167712,7.5,6.46020856
-0.928125,7.5,6.487021875
-1.0452992,7.5,6.51326976
-1.1680802,7.5,6.539001235
-1.2962592,7.5,6.56426616
-1.4296322,7.5,6.589115235
-1.568,7.5,6.6136
-1.7111682,7.5,6.637772835
-1.8589472,7.5,6.66168696
-2.0111522,7.5,6.685396435
-2.1676032,7.5,6.70895616
-2.328125,7.5,6.732421875
-2.4925472,7.5,6.75585016
-2.6607042,7.5,6.779298435
-2.8324352,7.5,6.80282496
-3.0075842,7.5,6.826488835
-3.186,7.5,6.85035
-3.3675362,7.5,6.874469235
-3.5520512,7.5,6.89890816
-3.7394082,7.5,6.923729235
-3.9294752,7.5,6.94899576
-4.122125,7.5,6.974771875
-4.3172352,7.5,7.00112256
-4.5146882,7.5,7.028113635
-4.7143712,7.5,7.05581176
-4.9161762,7.5,7.084284435
-5.12,7.5,7.1136
-5.3257442,7.5,7.143827635
-5.5333152,7.5,7.17503736
-5.7426242,7.5,7.207300035
-5.9535872,7.5,7.24068736
-6.166125,7.5,7.275271875
-6.3801632,7.5,7.31112696
-6.5956322,7.5,7.348326835
-6.8124672,7.5,7.38694656
-7.0306082,7.5,7.427062035
-7.25,7.5,7.46875
-7.4705922,7.5,7.512088035
-7.6923392,7.5,7.55715456
-7.9152002,7.5,7.604028835
-8.1391392,7.5,7.65279096
-8.364125,7.5,7.703521875
-8.5901312,7.5,7.75630336
-8.8171362,7.5,7.811218035
-9.0451232,7.5,7.86834936
-9.2740802,7.5,7.927781635
-9.504,7.5,7.9896
-9.7348802,7.5,8.053890435
-9.9667232,7.5,8.12073976
-10.1995362,7.5,8.190235635
-10.4333312,7.5,8.26246656
-10.668125,7.5,8.337521875
-10.9039392,7.5,8.41549176
-11.1408002,7.5,8.496467235
-11.3787392,7.5,8.58054016
-11.6177922,7.5,8.667803235
-11.858,7.5,8.75835
-12.0994082,7.5,8.852274835
-12.3420672,7.5,8.94967296
-12.5860322,7.5,9.050640435
-12.8313632,7.5,9.15527416
-13.078125,7.5,9.263671875
-13.3263872,7.5,9.37593216
-13.5762242,7.5,9.492154435
-13.8277152,7.5,9.61243896
-14.0809442,7.5,9.736886835
-14.336,7.5,9.8656
-14.5929762,7.5,9.998681235
-14.8519712,7.5,10.13623416
-15.1130882,7.5,10.278363235
-15.3764352,7.5,10.42517376
-15.642125,7.5,10.576771875
-15.9102752,7.5,10.73326456
-16.1810082,7.5,10.894759635
-16.4544512,7.5,11.06136576
-16.7307362,7.5,11.233192435
-17.01,7.5,11.41035
-17.2923842,7.5,11.592949635
-17.5780352,7.5,11.78110336
-17.8671042,7.5,11.974924035
-18.1597472,7.5,12.17452536
-18.456125,7.5,12.380021875
-18.7564032,7.5,12.59152896
-19.0607522,7.5,12.809162835
-19.3693472,7.5,13.03304056
-19.6823682,7.5,13.263280035
-20,7.5,13.5
-19.68807,7.5,13.336647
-19.35256,7.5,13.176576
-18.99389,7.5,13.019769
-18.61248,7.5,12.866208
-18.20875,7.5,12.715875
-17.78312,7.5,12.568752
-17.33601,7.5,12.424821
-16.86784,7.5,12.284064
-16.37903,7.5,12.146463
-15.87,7.5,12.012
-15.34117,7.5,11.880657
-14.79296,7.5,11.752416
-14.22579,7.5,11.627259
-13.64008,7.5,11.505168
-13.03625,7.5,11.386125
-12.41472,7.5,11.270112
-11.77591,7.5,11.157111
-11.12024,7.5,11.047104
-10.44813,7.5,10.940073
-9.76,7.5,10.836
-9.05627,7.5,10.734867
-8.33736,7.5,10.636656
-7.60369,7.5,10.541349
-6.85568,7.5,10.448928
-6.09375,7.5,10.359375
-5.31832,7.5,10.272672
-4.52981,7.5,10.188801
-3.72864,7.5,10.107744
-2.91523,7.5,10.029483
-2.09,7.5,9.954
-1.25337,7.5,9.881277
-0.405759999999999,7.5,9.811296
0.452410000000002,7.5,9.744039
1.32072,7.5,9.679488
2.19875,7.5,9.617625
3.08608,7.5,9.558432
3.98229,7.5,9.501891
4.88696,7.5,9.447984
5.79967,7.5,9.396693
6.72,7.5,9.348
7.64753000000001,7.5,9.301887
8.58184,7.5,9.258336
9.52251,7.5,9.217329
10.46912,7.5,9.178848
11.42125,7.5,9.142875
12.37848,7.5,9.109392
13.34039,7.5,9.078381
14.30656,7.5,9.049824
15.27657,7.5,9.023703
16.25,7.5,9
17.22643,7.5,8.978697
18.20544,7.5,8.959776
19.18661,7.5,8.943219
20.16952,7.5,8.929008
21.15375,7.5,8.917125
22.13888,7.5,8.907552
23.12449,7.5,8.900271
24.11016,7.5,8.895264
25.09547,7.5,8.892513
26.08,7.5,8.892
27.06333,7.5,8.893707
28.04504,7.5,8.897616
29.02471,7.5,8.903709
30.00192,7.5,8.911968
30.97625,7.5,8.922375
31.94728,7.5,8.934912
32.91459,7.5,8.949561
33.87776,7.5,8.966304
34.83637,7.5,8.985123
35.79,7.5,9.006
36.73823,7.5,9.028917
37.68064,7.5,9.053856
38.61681,7.5,9.080799
39.54632,7.5,9.109728
40.46875,7.5,9.140625
41.38368,7.5,9.173472
42.29069,7.5,9.208251
43.18936,7.5,9.244944
44.07927,7.5,9.283533
44.96,7.5,9.324
45.83113,7.5,9.366327
46.69224,7.5,9.410496
47.54291,7.5,9.456489
48.38272,7.5,9.504288
49.21125,7.5,9.553875
50.02808,7.5,9.605232
50.83279,7.5,9.658341
51.62496,7.5,9.713184
52.40417,7.5,9.769743
53.17,7.5,9.828
53.92203,7.5,9.887937
54.65984,7.5,9.949536
55.38301,7.5,10.012779
56.09112,7.5,10.077648
56.78375,7.5,10.144125
57.46048,7.5,10.212192
58.12089,7.5,10.281831
58.76456,7.5,10.353024
59.39107,7.5,10.425753
